Disease,Precautions
Alcoholic hepatitis,Avoid alcohol to allow the liver to heal. | Eat a healthy diet with plenty of fruits and vegetables. | Stay hydrated by drinking plenty of water. | Take prescribed medications to manage symptoms and inflammation. | Regularly monitor liver function through medical check-ups.
Tuberculosis,Take prescribed medications for the full course of treatment. | Avoid close contact with others during the infectious period. | Maintain good ventilation in living areas. | Follow a healthy diet to support the immune system. | Regularly visit a healthcare provider for check-ups.
Common Cold,Wash hands frequently with soap and water. | Avoid close contact with infected individuals. | Stay hydrated by drinking plenty of fluids. | Rest to help the body recover. | Use tissues when sneezing or coughing and dispose of them properly.
Pneumonia,Get vaccinated against pneumonia. | Quit smoking to improve lung health. | Maintain good hygiene by washing hands regularly. | Stay hydrated by drinking plenty of fluids. | Take prescribed medications to treat the infection.
Dimorphic hemmorhoids(piles),Avoid straining during bowel movements. | Eat a high-fiber diet to prevent constipation. | Stay hydrated by drinking plenty of water. | Exercise regularly to improve bowel function. | Use topical treatments to relieve symptoms.
Heart attack,Maintain a healthy diet with low saturated fats and cholesterol. | Exercise regularly to improve cardiovascular health. | Avoid smoking to reduce the risk of heart disease. | Manage stress through relaxation techniques and hobbies. | Take prescribed medications to manage heart conditions.
Varicose veins,Exercise regularly to improve blood circulation. | Avoid standing or sitting for long periods. | Elevate your legs when resting to reduce swelling. | Maintain a healthy weight to reduce pressure on veins. | Wear compression stockings to support veins.
Hypothyroidism,Take prescribed medications to manage thyroid hormone levels. | Follow a balanced diet with adequate iodine intake. | Regularly visit a healthcare provider for check-ups. | Manage stress through relaxation techniques. | Avoid goitrogenic foods such as soy and cruciferous vegetables.
Hyperthyroidism,Take prescribed medications to manage thyroid hormone levels. | Avoid iodine-rich foods such as seaweed and shellfish. | Regularly visit a healthcare provider for check-ups. | Manage stress through relaxation techniques. | Maintain a healthy diet to support overall health.
Hypoglycemia,Eat regular meals and snacks to maintain blood sugar levels. | Monitor blood sugar levels regularly. | Carry quick sources of sugar such as glucose tablets or candy. | Avoid excessive alcohol consumption. | Take prescribed medications to manage blood sugar levels.
Osteoarthristis,Maintain a healthy weight to reduce stress on joints. | Exercise regularly to strengthen muscles around joints. | Use supportive devices such as braces or canes. | Take prescribed medications to manage pain and inflammation. | Practice good posture to reduce strain on joints.
Arthritis,Maintain a healthy weight to reduce stress on joints. | Exercise regularly to strengthen muscles around joints. | Use supportive devices such as braces or canes. | Take prescribed medications to manage pain and inflammation. | Follow a balanced diet with anti-inflammatory foods.
(vertigo) Paroymsal Positional Vertigo,Avoid sudden head movements to prevent dizziness. | Use supportive devices such as handrails. | Practice balance exercises to improve stability. | Take prescribed medications to manage symptoms. | Stay hydrated to prevent dehydration-related dizziness.
Acne,Maintain a regular skincare routine with gentle products. | Avoid touching your face to prevent the spread of bacteria. | Use non-comedogenic products that do not clog pores. | Stay hydrated by drinking plenty of water. | Eat a balanced diet with plenty of fruits and vegetables.
Urinary tract infection,Drink plenty of water to flush out bacteria. | Practice good hygiene by wiping from front to back. | Urinate regularly and do not hold urine for long periods. | Avoid irritating feminine products such as douches and powders. | Take prescribed medications to treat the infection.
Psoriasis,Moisturize regularly to prevent dry skin. | Avoid known triggers such as stress and smoking. | Follow a healthy diet with anti-inflammatory foods. | Take prescribed medications to manage symptoms. | Avoid scratching to prevent skin damage.
Impetigo,Maintain good hygiene by washing hands and bathing regularly. | Avoid close contact with infected individuals. | Keep sores clean and covered with bandages. | Avoid scratching to prevent the spread of infection. | Take prescribed antibiotics to treat the infection.
